node_index,node_id,true_role,pred_role,prob_periphery,prob_bridge,prob_central
0,1,2,2,0.0,1.2873903e-37,1.0
1,10,2,2,0.0,0.0,1.0
2,11,2,2,0.0,1.2438838e-23,1.0
3,12,2,2,0.0,6.0046e-41,1.0
4,13,2,2,0.0,0.0,1.0
5,14,2,2,0.0,4.88064e-10,1.0
6,15,2,2,0.0,2.0427657e-10,1.0
7,16,2,2,0.0,2.4403969e-06,0.9999976
8,17,2,2,0.0,2.535245e-07,0.99999976
9,18,2,2,0.0,1e-45,1.0
10,19,2,2,0.0,2.108161e-36,1.0
11,2,2,2,0.0,3.033224e-09,1.0
12,20,2,2,0.0,1.6935588e-05,0.9999831
13,21,2,2,0.0,0.0002459372,0.999754
14,22,1,1,5.907008e-08,0.99998987,1.0164907e-05
15,23,2,0,0.41666788,0.33328566,0.25004637
16,24,1,1,1.251365e-16,1.0,1.749717e-11
17,25,2,2,0.0,1.1610349e-36,1.0
18,26,1,1,3.4090271e-19,1.0,3.4562555e-13
19,27,2,2,0.0,4.002621e-19,1.0
20,28,2,2,0.0,5.6642508e-05,0.9999434
21,29,2,2,0.0,0.0,1.0
22,3,2,2,0.0,2.4173603e-28,1.0
23,30,2,2,0.0,4.0833442e-10,1.0
24,31,2,2,0.0,0.0001385892,0.99986136
25,32,2,0,0.41666788,0.33328566,0.25004637
26,33,2,2,0.0,1.3392039e-09,1.0
27,34,1,1,6.597626e-25,1.0,5.5204575e-17
28,35,2,2,0.0,0.0,1.0
29,36,1,1,3.0223138e-08,0.99999344,6.511907e-06
30,37,1,1,5.0062994e-08,0.99999094,9.10663e-06
31,38,2,2,0.0,1.0153507e-11,1.0
32,39,1,1,3.7074155e-19,1.0,3.6544346e-13
33,4,2,2,0.0,4.6773325e-31,1.0
34,40,2,2,0.0,1.7495315e-05,0.9999825
35,41,2,2,0.0,5.036357e-32,1.0
36,42,2,2,0.0,0.0,1.0
37,43,2,2,0.0,1.9320905e-06,0.9999981
38,44,2,2,0.0,2e-44,1.0
39,45,1,1,1.04371445e-08,0.9999968,3.2125902e-06
40,46,2,2,0.0,0.0,1.0
41,47,1,1,2.2018984e-09,0.9999988,1.1422837e-06
42,48,1,1,5.038246e-37,1.0,4.157713e-37
43,49,0,0,0.41666788,0.33328566,0.25004637
44,5,2,2,0.0,0.0,1.0
45,50,0,0,1.0,2.860049e-22,0.0
46,51,1,1,7.437453e-27,1.0,2.8021697e-18
47,52,1,1,4.1142464e-22,1.0,3.974451e-15
48,53,0,0,1.0,1.012406e-14,0.0
49,54,1,1,2.404416e-24,1.0,1.3037577e-16
50,55,0,0,0.41666788,0.33328566,0.25004637
51,56,1,1,2.892148e-24,1.0,1.4739735e-16
52,57,0,0,0.41666788,0.33328566,0.25004637
53,58,2,2,0.0,3.030764e-29,1.0
54,59,1,1,7.0670856e-15,1.0,2.553479e-10
55,6,2,2,0.0,0.0,1.0
56,60,2,2,0.0,1.1569924e-31,1.0
57,61,1,1,3.384855e-08,0.99999297,7.021038e-06
58,62,1,1,3.1987983e-26,1.0,7.387692e-18
59,63,1,1,0.0,1.0,4.643039e-09
60,64,1,1,6.195978e-10,0.9999995,4.918455e-07
61,65,2,2,0.0,3.1154e-41,1.0
62,66,2,2,0.0,8.957028e-18,1.0
63,67,1,0,0.41666788,0.33328566,0.25004637
64,68,2,2,0.0,0.0,1.0
65,69,2,2,0.0,0.0,1.0
66,7,2,2,0.0,2.0835871e-11,1.0
67,70,1,1,1.9608356e-07,0.99997723,2.25617e-05
68,71,1,1,7.081959e-14,1.0,1.1810591e-09
69,72,2,2,0.0,6.638271e-25,1.0
70,73,1,1,3.7143114e-18,1.0,1.6900255e-12
71,74,2,2,0.0,0.000223795,0.9997762
72,75,1,0,0.41666788,0.33328566,0.25004637
73,76,1,1,0.0,1.0,2.1338003e-14
74,77,2,2,0.0,5.4583005e-12,1.0
75,78,2,2,0.0,0.0,1.0
76,79,1,1,6.695158e-10,0.9999995,5.178304e-07
77,8,2,2,0.0,5.045201e-25,1.0
78,80,0,0,0.41666788,0.33328566,0.25004637
79,81,2,2,0.0,8.27337e-28,1.0
80,82,1,0,0.41666788,0.33328566,0.25004637
81,83,2,2,0.0,2.502598e-12,1.0
82,84,2,2,0.0,0.0,1.0
83,85,2,2,0.0,8.203994e-09,1.0
84,86,2,2,0.0,5.4438055e-20,1.0
85,87,1,1,1.2680285e-18,0.9999999,1.2233764e-07
86,88,0,0,0.41666788,0.33328566,0.25004637
87,89,1,1,1.0260632e-24,1.0,7.40324e-17
88,9,1,0,0.41666788,0.33328566,0.25004637
89,90,1,1,4.982205e-16,1.0,4.3823743e-11
90,91,2,0,0.41666788,0.33328566,0.25004637
91,92,0,0,1.0,3.6e-44,1.7603849e-08
92,93,1,1,0.0,1.0,5.4802725e-11
93,94,2,2,0.0,1.2839316e-06,0.9999987
94,95,1,1,7.78639e-12,1.0,2.6834883e-08
95,96,1,1,9.851939e-07,0.9999331,6.595591e-05
